,mean_fit_time,param_clf,param_reduce_dim,param_vect__analyzer,param_vect__min_df,params,mean_test_score,rank_test_score,mean_train_score
0,110.12827024459838,"SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function remove_num at 0x1a0e26c510>,3,"{'clf': SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vect__analyzer': <function remove_num at 0x1a0e26c510>, 'vect__min_df': 3}",0.9623837700760778,5,0.9704672781107619
1,114.43723526000977,"SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function remove_num at 0x1a0e26c510>,5,"{'clf': SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vect__analyzer': <function remove_num at 0x1a0e26c510>, 'vect__min_df': 5}",0.9625950972104819,4,0.9703616396638942
2,4.755109071731567,"SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function remove_num_no_lemma at 0x1a0e2edbf8>,3,"{'clf': SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vect__analyzer': <function remove_num_no_lemma at 0x1a0e2edbf8>, 'vect__min_df': 3}",0.9615384615384616,11,0.970995512215274
3,4.556870365142823,"SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function remove_num_no_lemma at 0x1a0e2edbf8>,5,"{'clf': SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vect__analyzer': <function remove_num_no_lemma at 0x1a0e2edbf8>, 'vect__min_df': 5}",0.9611158072696534,12,0.9701502511163635
4,125.5665256023407,"SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function remove_num at 0x1a0e26c510>,3,"{'clf': SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vect__analyzer': <function remove_num at 0x1a0e26c510>, 'vect__min_df': 3}",0.9560439560439561,22,0.9590554507638165
5,117.5197726726532,"SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function remove_num at 0x1a0e26c510>,5,"{'clf': SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vect__analyzer': <function remove_num at 0x1a0e26c510>, 'vect__min_df': 5}",0.9587912087912088,16,0.9592665183066863
6,61.077702617645265,"SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function remove_num_no_lemma at 0x1a0e2edbf8>,3,"{'clf': SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vect__analyzer': <function remove_num_no_lemma at 0x1a0e2edbf8>, 'vect__min_df': 3}",0.9518174133558749,24,0.9611157982443836
7,51.218531894683835,"SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)","NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0)",<function remove_num_no_lemma at 0x1a0e2edbf8>,5,"{'clf': SVC(C=92.36, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init='random', l1_ratio=0.0,
  max_iter=200, n_components=50, random_state=0, shuffle=False,
  solver='cd', tol=0.0001, verbose=0), 'vect__analyzer': <function remove_num_no_lemma at 0x1a0e2edbf8>, 'vect__min_df': 5}",0.9566779374471682,21,0.9623310521067326
8,136.17027907371522,"LogisticRegression(C=5.3, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function remove_num at 0x1a0e26c510>,3,"{'clf': LogisticRegression(C=5.3, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vect__analyzer': <function remove_num at 0x1a0e26c510>, 'vect__min_df': 3}",0.9621724429416737,7,0.9681427577510414
9,129.19189414978027,"LogisticRegression(C=5.3, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function remove_num at 0x1a0e26c510>,5,"{'clf': LogisticRegression(C=5.3, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vect__analyzer': <function remove_num at 0x1a0e26c510>, 'vect__min_df': 5}",0.9628064243448858,2,0.9681955560393888
